tournament,timestamp,date_GMT,status,stadium_name,attendance,home_team_name,away_team_name,referee,Game Week,home_team_pre_match_ppg,away_team_pre_match_ppg,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,home_team_xg,away_team_xg
Friendly,1456970400,Mar 03 2016 - 2:00am,complete,Estadio Nacional Mateo Flores,,Guatemala,El Salvador,,,3,0,1.6,0.2,1,0,1,1,1,0,20,,1,4,1,0,2,0,0,1,2,0,5,7,2,3,3,4,21,9,42,58,,
Friendly,1457573400,Mar 10 2016 - 1:30am,complete,Estadio Nacional de FÃºtbol (UNAN) (Managua),,Nicaragua,El Salvador,,,0,0,1.17,0.2,1,1,2,1,1,0,27,65,1,4,2,1,3,1,1,2,2,2,10,6,3,2,7,4,23,20,47,53,,
Friendly,1458091800,Mar 16 2016 - 1:30am,complete,Estadio Nacional de FÃºtbol (UNAN) (Managua),,Nicaragua,Panama,,,0.5,3,1.17,0.83,1,0,1,0,0,0,48,,1,8,1,0,5,0,0,1,2,3,8,10,4,5,4,5,19,23,40,60,,
Friendly,1458298800,Mar 18 2016 - 11:00am,complete,Shahid Dastgerdi Stadium,,Iraq,Syria,,,0,0,0.4,1.83,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1458313200,Mar 18 2016 - 3:00pm,complete,Sheikh Zayed Sports City,,UAE,Bangladesh,,,3,2,1.5,1,6,1,7,2,1,1,2;49;69;82;87;90,5,,,,,,,,,,,,,,,,,,,,,,
Friendly,1458385200,Mar 19 2016 - 11:00am,complete,Taipei Municipal Stadium,,Taiwan,Guam,,,0,0,3,0,3,2,5,0,0,0,,,10,2,0,0,0,0,0,0,0,0,7,6,4,4,3,2,10,9,61,39,,
Friendly,1458432000,Mar 20 2016 - 12:00am,complete,Kirani James National Stadium (St. George's),,Grenada,Trinidad and Tobago,,,0,0,1,0.67,2,2,4,2,1,1,45+1;49,25;90+3,,,,,,,,,,,,,,,,,,,,,,
Friendly,1458752400,Mar 23 2016 - 5:00pm,complete,Å RC Bonifika,3500,Slovenia,North Macedonia,,,0,0,1,0.75,1,0,1,0,0,0,58,,3,3,2,0,2,0,2,0,1,1,9,7,4,5,5,2,28,9,50,50,,
Friendly,1458752400,Mar 23 2016 - 5:00pm,complete,Stadion Gradski vrt,10545,Croatia,Israel,,,0,0,2.6,0,2,0,2,2,2,0,4;34,,4,6,0,0,3,0,0,0,1,2,9,9,4,5,5,4,13,9,47,53,,
Friendly,1458756000,Mar 23 2016 - 6:00pm,complete,Stadionul Marin Anastasovici,4368,Romania,Lithuania,,,0,0,1.33,0.33,1,0,1,0,0,0,65,,6,2,0,0,1,0,0,0,0,1,14,5,5,4,9,1,16,15,63,37,,
Friendly,1458762300,Mar 23 2016 - 7:45pm,complete,INEA stadion,38271,Poland,Serbia,,,0,0,1.6,1.67,1,0,1,1,1,0,28,,1,9,0,0,0,0,0,0,0,0,11,13,5,7,6,6,16,11,46,54,,
Friendly,1458792000,Mar 24 2016 - 4:00am,complete,Lawson Tama Stadium (Honiara),,Solomon Islands,Papua New Guinea,,,0,0,0.75,1.2,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458810000,Mar 24 2016 - 9:00am,complete,Adelaide Oval (Adelaide),35439,Australia,Tajikistan,,9,2.5,0.83,2.2,0.63,7,0,7,2,2,0,2;13;57;67;70;72;88,,10,0,1,0,4,0,0,1,2,2,24,0,7,0,17,0,21,17,71,29,,
FIFA World Cup Qualifiers,1458815640,Mar 24 2016 - 10:34am,complete,Saitama Stadium 2002,48967,Japan,Afghanistan,,9,2.67,1,2.33,1.13,5,0,5,1,1,0,43;59;63;74;78,,15,1,0,0,0,0,0,0,0,0,21,2,14,0,7,2,15,11,76,24,,
FIFA World Cup Qualifiers,1458817200,Mar 24 2016 - 11:00am,complete,Ansan Wa~ Stadium,30532,South Korea,Lebanon,,9,3,1.67,2.17,1.38,1,0,1,0,0,0,90+3,,8,1,0,0,3,0,0,0,1,2,10,4,4,2,6,2,3,13,78,22,,
FIFA World Cup Qualifiers,1458819300,Mar 24 2016 - 11:35am,complete,Wuhan Sports Center Stadium (Wuhan),32618,China,Maldives,,9,1.83,0.5,1.61,0.75,4,0,4,2,2,0,3;11;84;90,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1458819900,Mar 24 2016 - 11:45am,complete,Jalan Besar Stadium,,Singapore,Myanmar,,,0,0,1.11,0.83,2,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458820800,Mar 24 2016 - 12:00pm,complete,SÃ¢n váº­n Ä‘á»™ng quá»‘c gia Má»¹ ÄÃ¬nh (My Dinh National Stadium) (HÃ  Ná»™i (Hanoi)),18350,Vietnam,Taiwan,,9,1,0.43,1.17,0.38,4,1,5,4,3,1,8;29;42;90+1,7,1,5,0,0,0,0,0,0,0,0,9,6,3,0,6,6,13,10,54,46,,
FIFA World Cup Qualifiers,1458822600,Mar 24 2016 - 12:30pm,complete,Amman International Stadium,6000,Jordan,Bangladesh,,9,2.17,0.14,2,0.13,8,0,8,5,5,0,7;23;29;32;40;63;82;90+2,,10,0,0,0,3,0,0,0,1,2,10,4,5,0,5,4,3,6,60,40,,
FIFA World Cup Qualifiers,1458824400,Mar 24 2016 - 1:00pm,complete,Stadion Bunyodkor (Toshkent (Tashkent)),34000,Uzbekistan,Philippines,,9,2.5,1.17,1.89,1.25,1,0,1,0,0,0,59,,14,0,0,0,1,1,0,0,2,0,26,7,13,5,13,2,8,8,74,26,,
Friendly,1458828000,Mar 24 2016 - 2:00pm,complete,Ta'Qali National Stadium,,Malta,Moldova,,,0,0,0.4,1,0,0,0,0,0,0,,,2,3,2,0,3,0,1,1,1,2,4,7,2,5,2,2,15,22,43,57,,
FIFA World Cup Qualifiers,1458828000,Mar 24 2016 - 2:00pm,complete,Shahid Dastgerdi Stadium,4000,Iraq,Thailand,,9,2,2.6,1.44,1,2,2,4,1,0,1,67;90+4,39;86,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458829800,Mar 24 2016 - 2:30pm,complete,Azadi Stadium,29160,Iran,India,,9,2.33,0.88,2.33,0.7,4,0,4,1,1,0,33;61;66;78,,,,2,0,1,0,0,2,1,0,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458831600,Mar 24 2016 - 3:00pm,complete,Mohammed Bin Zayed Stadium,15822,UAE,Palestine,,9,2.17,1.5,1.67,1.5,2,0,2,1,1,0,32;60,,3,3,3,0,5,1,0,3,2,4,6,7,3,3,3,4,21,17,63,37,,
FIFA World Cup Qualifiers,1458831600,Mar 24 2016 - 3:00pm,complete,Sultan Qaboos Sport Complex,8000,Oman,Guam,,9,1.83,1,1.75,0.88,1,0,1,0,0,0,53,,,,2,0,4,0,0,2,2,2,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458833400,Mar 24 2016 - 3:30pm,complete,StÄd al-Bahrayn al-WatanÄ« (Bahrain National Stadium) (Riffa),1000,Bahrain,Yemen,,9,1,0.78,1.13,0.7,3,0,3,1,1,0,32;64;90+1,,5,4,1,0,1,0,0,1,0,1,3,10,0,2,3,8,21,15,53,47,,
FIFA World Cup Qualifiers,1458833700,Mar 24 2016 - 3:35pm,complete,Al Kuwait Sports Club Stadium,,Kuwait,Laos,,9,1.67,0.14,1.25,0.5,0,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1458835200,Mar 24 2016 - 4:00pm,complete,Jassim Bin Hamad Stadium (Al-Sadd Stadium) (ad-DÅha (Doha)),10170,Qatar,Hong Kong,,9,3,2,1.56,1.75,2,0,2,1,1,0,20;87,,5,4,3,0,2,0,0,3,0,2,15,7,6,3,9,4,11,15,62,38,,
FIFA World Cup Qualifiers,1458835200,Mar 24 2016 - 4:00pm,complete,Al-Seeb Stadium,100,Syria,Cambodia,,9,2.5,0.44,1.6,0.4,6,0,6,2,2,0,7;19;57;71;80;84,,,,0,0,1,0,0,0,0,1,,,,,,,,,,,,
Friendly,1458838800,Mar 24 2016 - 5:00pm,complete,A. Le Coq Arena,2892,Estonia,Norway,,,1,0,1.25,1.17,0,0,0,0,0,0,,,1,5,0,0,0,0,0,0,0,0,4,8,2,4,2,4,9,6,42,58,,
FIFA World Cup Qualifiers,1458840600,Mar 24 2016 - 5:30pm,complete,King Abdullah Sports City,34839,Saudi Arabia,Malaysia,,9,2.67,0.57,2.17,0.5,2,0,2,0,0,0,50;74,,16,2,0,0,1,0,0,0,1,0,18,2,7,0,11,2,8,13,80,20,,
Friendly,1458842400,Mar 24 2016 - 6:00pm,complete,Stadio Georgios KaraiskÃ¡ki,3500,Greece,Montenegro,,,0,0,1.5,0.33,2,1,3,0,0,0,54;63,56,5,5,4,0,4,0,1,3,1,3,8,9,5,5,3,4,17,22,52,48,,
Friendly,1458845100,Mar 24 2016 - 6:45pm,complete,Antalya Stadyumu,33000,Turkey,Sweden,,,0,2,2.17,1.71,2,1,3,1,1,0,32;81,74,6,5,0,0,1,0,0,0,0,1,7,8,3,6,4,2,11,16,57,43,,
Friendly,1458846000,Mar 24 2016 - 7:00pm,complete,Stadion Chornomorets,21300,Ukraine,Cyprus,,,0,0,3,0,1,0,1,1,1,0,40,,4,2,0,0,2,0,0,0,1,1,12,5,5,3,7,2,12,12,47,53,,
Friendly,1458846000,Mar 24 2016 - 7:00pm,complete,MCH Arena,9194,Denmark,Iceland,,,0,1,1.75,1.5,2,1,3,0,0,0,50;54,90,6,9,1,0,2,0,1,0,0,2,12,8,5,6,7,2,11,13,50,50,,
Friendly,1458848700,Mar 24 2016 - 7:45pm,complete,Dacia Arena,23300,Italy,Spain,,,0,0,1.33,1.71,1,1,2,0,0,0,68,70,7,3,2,0,2,0,1,1,0,2,12,4,8,0,4,4,13,14,49,51,,
Friendly,1458848700,Mar 24 2016 - 7:45pm,complete,Generali Arena,14580,Czech Republic,Scotland,,,0,0,1.57,1.5,0,1,1,1,0,1,,10,11,4,2,0,0,0,1,1,0,0,14,7,7,3,7,4,22,10,60,40,,
Friendly,1458848700,Mar 24 2016 - 7:45pm,complete,Cardiff City Stadium,21855,Wales,Northern Ireland,,,0,0,0.33,1.6,1,1,2,0,0,0,89,60,5,5,0,0,0,0,0,0,0,0,9,4,3,2,6,2,6,15,60,40,,
FIFA World Cup Qualifiers,1458849600,Mar 24 2016 - 8:00pm,complete,Estadio Hernando Siles,16765,Bolivia,Colombia,,5,0.75,1,0.94,1.5,2,3,5,2,0,2,50;62,10;41;90+2,5,0,3,0,1,0,1,2,0,1,15,5,8,3,7,2,25,15,66,34,,
FIFA World Cup Qualifiers,1458853200,Mar 24 2016 - 9:00pm,complete,Estadio OlÃ­mpico Atahualpa,34817,Ecuador,Paraguay,,5,3,1.75,1.11,1.33,2,2,4,2,1,1,20;90+2,38;59,15,0,2,0,1,0,1,1,0,1,25,5,7,2,18,3,12,9,70,30,,
FIFA World Cup Qualifiers,1458862200,Mar 24 2016 - 11:30pm,complete,Estadio Nacional Julio MartÃ­nez PrÃ¡danos,44536,Chile,Argentina,,5,1.75,1.25,1.44,1.56,1,2,3,3,1,2,11,20;25,6,4,2,0,4,0,1,1,0,4,12,7,2,2,10,5,10,18,,,,
FIFA World Cup Qualifiers,1458872100,Mar 25 2016 - 2:15am,complete,Estadio Nacional de Lima,35459,Peru,Venezuela,,5,0.75,0,1.28,0.67,2,2,4,1,0,1,61;90+4,32;57,10,5,3,0,3,0,1,2,0,3,15,10,8,6,7,4,15,17,,,,
Friendly,1458916200,Mar 25 2016 - 2:30pm,complete,Stade de Franceville (new) (Franceville),,Gabon,Sierra Leone,,,1,0,1,1.5,2,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1458918000,Mar 25 2016 - 3:00pm,complete,Vazgen Sargsyan anvan Hanrapetakan Marzadasht,,Armenia,Belarus,,,0,0,1.75,1.83,0,0,0,0,0,0,,,8,8,0,0,2,0,0,0,1,1,8,9,3,5,5,4,7,20,54,46,,
Friendly,1458933300,Mar 25 2016 - 7:15pm,complete,Stade Josy Barthel,3731,Luxembourg,Bosnia-Herzegovina,,,0,0,0,2,0,3,3,0,0,0,,73;75;90+2,4,5,2,0,0,0,1,1,0,0,5,14,4,6,1,8,20,11,41,59,,
Friendly,1458934200,Mar 25 2016 - 7:30pm,complete,City Arena Trnava,12405,Slovakia,Latvia,,,0,0,1.67,2,0,0,0,0,0,0,,,5,0,1,0,0,0,0,1,0,0,15,4,5,2,10,2,13,18,60,40,,
Friendly,1458935100,Mar 25 2016 - 7:45pm,complete,Amsterdam ArenA (Amsterdam),46103,Netherlands,France,,,0,0,1.57,2.67,2,3,5,2,0,2,47;86,6;13;88,3,5,0,0,1,0,0,0,0,1,6,9,4,5,2,4,16,12,54,46,,
Friendly,1458935100,Mar 25 2016 - 7:45pm,complete,Aviva Stadium,35450,Republic of Ireland,Switzerland,,,0,0,1.6,0.75,1,0,1,1,1,0,2,,8,7,0,0,2,0,0,0,1,1,5,10,3,4,2,6,13,12,40,60,,
Friendly,1458938700,Mar 25 2016 - 8:45pm,complete,EstÃ¡dio Dr. MagalhÃ£es Pessoa (Leiria),19355,Portugal,Bulgaria,,,0,0,2,3,0,1,1,1,0,1,,19,19,3,1,0,4,0,0,1,1,3,25,4,13,2,12,2,9,14,72,28,,
FIFA World Cup Qualifiers,1458953100,Mar 26 2016 - 12:45am,complete,Itaipava Arena Pernambuco,45010,Brazil,Uruguay,,5,1.75,2.25,2.28,1.72,2,2,4,3,2,1,1;26,31;48,7,5,3,0,1,0,0,3,0,1,6,10,3,7,3,3,20,17,,,,
Friendly,1458964800,Mar 26 2016 - 4:00am,complete,PVM Stadium (Port Vila- Efate),,Vanuatu,New Caledonia,,,0,0,3,1.5,2,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1459004400,Mar 26 2016 - 3:00pm,complete,Gloria Sports Arena (Belek),,Azerbaijan,Kazakhstan,,,0,0,0.5,1.75,0,1,1,1,0,1,,8,,,0,0,1,0,0,0,0,1,,,,,,,,,,,,
Friendly,1459008000,Mar 26 2016 - 4:00pm,complete,Otkrytiye Arena,35400,Russia,Lithuania,,,0,0,1.22,0.33,3,0,3,1,1,0,41;61;72,,6,1,2,0,2,0,0,2,1,1,6,4,2,2,4,2,8,12,63,37,,
Friendly,1459009800,Mar 26 2016 - 4:30pm,complete,Stadion Miejski (WrocÅ‚aw),42068,Poland,Finland,,,3,0,1.6,0.14,5,0,5,3,3,0,18;20;32;66;85,,3,6,1,0,1,0,1,0,0,1,7,5,3,3,4,2,7,13,58,42,,
Friendly,1459009800,Mar 26 2016 - 4:30pm,complete,Ernst-Happel-Stadion,28600,Austria,Albania,,,0,0,1.4,1.4,2,1,3,2,2,0,6;13,47,6,4,0,0,1,1,0,0,0,2,11,8,7,3,4,5,14,9,57,43,,
Friendly,1459011600,Mar 26 2016 - 5:00pm,complete,Groupama ArÃ©na,20300,Hungary,Croatia,,,0,3,0.5,2.6,1,1,2,1,0,1,79,29,8,2,3,0,3,0,0,3,1,2,6,6,3,3,3,3,22,13,48,52,,
Friendly,1459021500,Mar 26 2016 - 7:45pm,complete,Olympiastadion Berlin,71413,Germany,England,,,0,0,1.67,2.17,2,3,5,1,1,0,43;57,61;75;90+1,5,7,1,0,1,0,1,0,0,1,6,13,4,5,2,8,14,12,57,43,,
Friendly,1459047600,Mar 27 2016 - 3:00am,complete,Lawson Tama Stadium (Honiara),,Solomon Islands,Papua New Guinea,,,3,0,0.75,1.2,1,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1459081800,Mar 27 2016 - 12:30pm,complete,Suphachalasai Stadium (Bangkok),18900,Thailand,South Korea,,,0,0,1,2.25,0,1,1,1,0,1,,4,4,4,1,0,0,0,1,0,0,0,10,7,5,3,5,4,12,13,42,58,,
Friendly,1459104300,Mar 27 2016 - 6:45pm,complete,Cluj Arena,30000,Romania,Spain,,,3,1,1.33,1.71,0,0,0,0,0,0,,,7,11,1,0,2,0,1,0,0,2,19,10,11,8,8,2,15,6,33,67,,
Friendly,1459177200,Mar 28 2016 - 3:00pm,complete,Ta'Qali National Stadium,,Andorra,Moldova,,,0,1,0.33,1,0,1,1,1,0,1,,45+2,,,2,0,1,0,1,1,0,1,,,,,,,,,,,,
Friendly,1459182600,Mar 28 2016 - 4:30pm,complete,National Stadium,,Sierra Leone,Gabon,,,0,2,1.5,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1459184400,Mar 28 2016 - 5:00pm,complete,Estadio Municipal de Marbella,,Liechtenstein,Faroe Islands,,,0,0,0,1.5,2,3,5,2,0,2,74;90+3,6;44;58,7,4,1,0,4,0,0,1,2,2,14,6,5,4,9,2,12,22,58,42,,
Friendly,1459188000,Mar 28 2016 - 6:00pm,complete,NSK Olimpijs'kyj (Kyiv (Kiev)),20000,Ukraine,Wales,,,3,1,3,0.33,1,0,1,1,1,0,27,,1,4,3,0,1,0,2,1,0,1,3,9,0,5,3,4,24,15,45,55,,
Friendly,1459190700,Mar 28 2016 - 6:45pm,complete,Windsor Park,13500,Northern Ireland,Slovenia,,,1,3,1.6,1,1,0,1,1,1,0,41,,5,7,3,0,2,0,1,2,0,2,4,8,2,3,2,5,12,12,46,54,,
FIFA World Cup Qualifiers,1459242000,Mar 29 2016 - 9:00am,complete,Allianz Stadium,24975,Australia,Jordan,,10,2.57,2.29,2.2,2,5,1,6,3,3,0,24;39;44;53;69,90,13,1,2,0,2,0,0,2,0,2,17,4,10,0,7,4,13,8,63,37,,
FIFA World Cup Qualifiers,1459247400,Mar 29 2016 - 10:30am,complete,Takhti Stadium (TehrÄn (Teheran)),24500,Afghanistan,Singapore,,10,0.86,1.43,1.13,1.25,2,1,3,1,1,0,39;79,89,,,0,0,1,0,0,0,0,1,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459247640,Mar 29 2016 - 10:34am,complete,Saitama Stadium 2002,57475,Japan,Syria,,10,2.71,2.57,2.33,1.6,5,0,5,1,1,0,17;66;86;90;90+3,,16,5,1,0,1,0,0,1,0,1,13,13,6,5,7,8,11,6,63,37,,
FIFA World Cup Qualifiers,1459249200,Mar 29 2016 - 11:00am,complete,Daegu Stadium,,South Korea,Kuwait,,10,3,1.43,2.17,1.25,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459252800,Mar 29 2016 - 12:00pm,complete,SaÃ¯da International Stadium (SaÃ¯da (Saida)),3470,Lebanon,Myanmar,,10,1.43,1,1.38,1,1,1,2,0,0,0,88,73,7,2,2,1,3,1,1,2,1,3,12,8,7,5,5,3,12,20,66,34,,
FIFA World Cup Qualifiers,1459252800,Mar 29 2016 - 12:00pm,complete,Rizal Memorial Stadium,7350,Philippines,North Korea,,10,1,2.29,1.25,2,3,2,5,2,1,1,44;86;90,45+1;48,4,4,3,0,0,0,1,2,0,0,9,14,5,6,4,8,11,15,49,51,,
FIFA World Cup Qualifiers,1459253700,Mar 29 2016 - 12:15pm,complete,Shanxi Sports Centre Stadium (Taiyuan),46718,China,Qatar,,10,2,3,1.61,1.56,2,0,2,0,0,0,58;89,,,,1,0,1,0,0,1,1,0,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459254600,Mar 29 2016 - 12:30pm,complete,Jawaharlal Nehru International Stadium (Kochi- Kerala),3111,India,Turkmenistan,,10,0.78,1.43,0.7,1.63,1,2,3,1,1,0,27,49;70,5,1,3,0,0,0,2,1,0,0,8,10,3,6,5,4,15,9,45,55,,
Friendly,1459255500,Mar 29 2016 - 12:45pm,complete,Stadium Hang Jebat,,Malaysia,Macau,,,0,0,1.22,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459256400,Mar 29 2016 - 1:00pm,complete,Respublikanskiy Stadion im. M.V. Frunze,7500,Tajikistan,Kyrgyzstan,,10,0.71,1.57,0.63,1.75,0,1,1,1,0,1,,18,,,1,0,2,0,0,1,0,2,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459256400,Mar 29 2016 - 1:00pm,complete,Stadion Bunyodkor (Toshkent (Tashkent)),34000,Uzbekistan,Bahrain,,10,2.57,1.29,1.89,1.13,1,0,1,0,0,0,50,,2,3,1,0,2,0,1,0,2,0,8,5,2,2,6,3,14,13,50,50,,
FIFA World Cup Qualifiers,1459260000,Mar 29 2016 - 2:00pm,complete,Dora International Stadium (Hebron),6000,Palestine,Timor-Leste,,10,1.29,0.89,1.5,0.8,7,0,7,4,4,0,2;18;32;39;66;78;90,,13,0,0,0,1,0,0,0,1,0,35,3,14,2,21,1,8,8,69,31,,
FIFA World Cup Qualifiers,1459260000,Mar 29 2016 - 2:00pm,complete,Shahid Dastgerdi Stadium,2160,Iraq,Vietnam,,10,1.8,1.4,1.44,1.17,1,0,1,1,1,0,45+1,,4,0,2,0,3,0,1,1,2,1,10,4,2,0,8,4,14,16,55,45,,
FIFA World Cup Qualifiers,1459261800,Mar 29 2016 - 2:30pm,complete,Azadi Stadium,33850,Iran,Oman,,10,2.43,2,2.33,1.75,2,0,2,2,2,0,16;23,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup Qualifiers,1459263600,Mar 29 2016 - 3:00pm,complete,Mohammed Bin Zayed Stadium,32325,UAE,Saudi Arabia,,10,2.29,2.71,1.67,2.17,1,1,2,1,0,1,52,24,4,4,1,0,1,0,1,0,1,0,13,7,5,5,8,2,13,9,48,52,,
Friendly,1459267200,Mar 29 2016 - 4:00pm,complete,A. Le Coq Arena,2858,Estonia,Serbia,,,1,0,1.25,1.67,0,1,1,0,0,0,,81,4,2,0,0,1,0,0,0,0,1,9,18,4,9,5,9,19,12,47,53,,
Friendly,1459267200,Mar 29 2016 - 4:00pm,complete,Stadion Pod Goricom,,Montenegro,Belarus,,,0,1,0.33,1.83,0,0,0,0,0,0,,,7,2,2,0,3,1,0,2,1,3,8,6,0,3,8,3,15,23,67,33,,
FIFA World Cup Qualifiers,1459267200,Mar 29 2016 - 4:00pm,complete,Rasmee Dhandu Stadium,4102,Maldives,Bhutan,,10,0.43,0.67,0.75,0.6,4,2,6,2,1,1,37;82;88;90+4,7;49,11,5,1,0,2,0,0,1,0,2,21,14,9,4,12,10,9,8,56,44,,
Friendly,1459270800,Mar 29 2016 - 5:00pm,complete,Telekom Arena (Skopje),7000,North Macedonia,Bulgaria,,,0,3,0.75,3,0,2,2,0,0,0,,66;88,3,1,3,0,2,0,1,2,0,2,4,4,4,3,0,1,18,13,52,48,,
Friendly,1459270800,Mar 29 2016 - 5:00pm,complete,Boris Paichadze Dinamo Arena,,Georgia,Kazakhstan,,,0,3,1,1.75,1,1,2,2,1,1,38,36,7,3,0,0,0,0,0,0,0,0,8,6,4,0,4,6,13,19,61,39,,
Friendly,1459272600,Mar 29 2016 - 5:30pm,complete,Stadio Georgios KaraiskÃ¡ki,3500,Greece,Iceland,,,3,0.75,1.5,1.5,2,3,5,3,2,1,19;31,34;70;82,1,8,1,0,2,0,0,1,1,1,8,16,3,7,5,9,16,13,44,56,,
Friendly,1459274400,Mar 29 2016 - 6:00pm,complete,Ullevaal Stadion,4675,Norway,Finland,,,1,0,1.17,0.14,2,0,2,0,0,0,57;84,,4,5,0,0,2,0,0,0,0,2,7,3,4,2,3,1,7,17,54,46,,
Friendly,1459275300,Mar 29 2016 - 6:15pm,complete,Stade Josy Barthel,,Luxembourg,Albania,,,0,0,0,1.4,0,2,2,0,0,0,,63;75,4,8,0,1,0,0,1,0,0,0,7,17,3,9,4,8,15,13,34,66,,
Friendly,1459276200,Mar 29 2016 - 6:30pm,complete,Stadion Letzigrund,17000,Switzerland,Bosnia-Herzegovina,,,0,3,0.75,2,0,2,2,1,0,1,,14;57,9,10,1,0,2,0,1,0,2,0,13,9,5,7,8,2,11,15,52,48,,
Friendly,1459276200,Mar 29 2016 - 6:30pm,complete,Friends Arena,18745,Sweden,Czech Republic,,,1.33,0,1.71,1.57,1,1,2,2,1,1,14,26,2,6,0,0,0,0,0,0,0,0,10,4,4,0,6,4,14,10,56,44,,
Friendly,1459276200,Mar 29 2016 - 6:30pm,complete,Ernst-Happel-Stadion,26700,Austria,Turkey,,,3,3,1.4,2.17,1,2,3,2,1,1,22,43;56,4,5,2,0,2,0,0,2,1,1,10,9,4,3,6,6,15,21,51,49,,
Friendly,1459277100,Mar 29 2016 - 6:45pm,complete,Allianz Arena,62653,Germany,Italy,,,0,1,1.67,1.33,4,1,5,2,2,0,24;45;59;75,83,3,2,2,0,1,0,0,2,1,0,6,11,5,3,1,8,12,10,53,47,,
Friendly,1459277100,Mar 29 2016 - 6:45pm,complete,Aviva Stadium,30217,Republic of Ireland,Slovakia,,,3,1,1.6,1.67,2,2,4,4,2,2,22;24,14;45,6,1,1,0,3,0,0,1,1,2,12,4,7,3,5,1,16,11,61,39,,
Friendly,1459277100,Mar 29 2016 - 6:45pm,complete,EstÃ¡dio Dr. MagalhÃ£es Pessoa (Leiria),21157,Portugal,Belgium,,,0,0,2,1.33,2,1,3,2,2,0,20;40,62,2,4,1,0,1,0,0,1,0,1,12,9,5,3,7,6,7,7,43,57,,
Friendly,1459278000,Mar 29 2016 - 7:00pm,complete,Wembley Stadium,82835,England,Netherlands,,,3,0,2.17,1.57,1,2,3,1,1,0,40,50;76,7,3,0,0,1,0,0,0,0,1,11,7,4,5,7,2,7,10,61,39,,
Friendly,1459278000,Mar 29 2016 - 7:00pm,complete,Stade de France,65000,France,Russia,,,3,3,2.67,1.22,4,2,6,2,2,0,9;38;64;76,56;68,4,1,0,0,3,0,0,0,1,2,5,4,2,2,3,2,9,16,58,42,,
Friendly,1459278000,Mar 29 2016 - 7:00pm,complete,Hampden Park,18385,Scotland,Denmark,,,3,3,1.5,1.75,1,0,1,1,1,0,8,,7,4,3,0,0,0,0,3,0,0,7,15,4,7,3,8,19,11,40,60,,
FIFA World Cup Qualifiers,1459283400,Mar 29 2016 - 8:30pm,complete,Estadio Metropolitano Roberto MelÃ©ndez,38400,Colombia,Ecuador,,6,1.4,2.6,1.5,1.11,3,1,4,1,1,0,15;48;67,90,5,3,2,0,4,0,0,2,0,4,11,5,6,2,5,3,15,22,41,59,,
FIFA World Cup Qualifiers,1459292400,Mar 29 2016 - 11:00pm,complete,Estadio Centenario,55000,Uruguay,Peru,,6,2,0.8,1.72,1.28,1,0,1,0,0,0,53,,7,3,0,0,2,0,0,0,1,1,10,10,5,4,5,6,7,12,50,50,,
FIFA World Cup Qualifiers,1459294200,Mar 29 2016 - 11:30pm,complete,Estadio Mario Alberto Kempes,53000,Argentina,Bolivia,,6,1.6,0.6,1.56,0.94,2,0,2,2,2,0,20;30,,4,4,0,0,2,0,0,0,1,1,14,5,5,4,9,1,6,20,74,26,,
FIFA World Cup Qualifiers,1459294200,Mar 29 2016 - 11:30pm,complete,Estadio Rafael AgustÃ­n Tovar,24101,Venezuela,Chile,,6,0.2,1.4,0.67,1.44,1,4,5,2,1,1,9,33;52;72;90+2,2,3,2,0,2,0,1,1,0,2,11,9,3,2,8,7,15,16,40,60,,
